rho,run_id,t,queue_length,num_in_system,avg_waiting_time,arrivals_in_interval,departures_in_interval,recent_arrival_rate,recent_service_rate
0.5,0,1.0,0,1,,0,0,0.4,0.3
0.5,0,2.0,0,1,,0,0,0.4,0.3
0.5,0,3.0,0,1,4.52296484808042,1,1,0.4,0.4
0.5,0,4.0,0,1,,0,0,0.3,0.2
0.5,0,5.0,0,1,,0,0,0.2,0.2
0.5,0,6.0,0,1,,0,0,0.1,0.2
0.5,0,7.0,1,2,,1,0,0.2,0.2
0.5,0,8.0,2,3,0.09992985475119553,2,1,0.4,0.3
0.5,0,9.0,2,3,0.5760526021566932,1,1,0.5,0.4
0.5,0,10.0,0,0,1.2709888119231323,0,3,0.5,0.6
0.5,0,11.0,0,0,,0,0,0.5,0.6
0.5,0,12.0,0,0,,0,0,0.5,0.6
0.5,0,13.0,0,0,,0,0,0.4,0.5
0.5,0,14.0,0,0,,0,0,0.4,0.5
0.5,0,15.0,0,0,,0,0,0.4,0.5
0.5,0,16.0,0,0,0.0,1,1,0.5,0.6
0.5,0,17.0,0,0,,0,0,0.4,0.6
0.5,0,18.0,0,1,,1,0,0.3,0.5
0.5,0,19.0,0,1,0.0,1,1,0.3,0.5
0.5,0,20.0,0,1,0.0,1,1,0.4,0.3
0.5,0,21.0,0,0,0.2614028550211742,0,1,0.4,0.4
0.5,0,22.0,0,0,,0,0,0.4,0.4
0.5,0,23.0,0,0,0.0,1,1,0.5,0.5
0.5,0,24.0,0,0,0.0,1,1,0.6,0.6
0.5,0,25.0,0,1,,1,0,0.7,0.6
0.5,0,26.0,1,2,,1,0,0.7,0.5
0.5,0,27.0,1,2,0.0,1,1,0.8,0.6
0.5,0,28.0,0,0,0.9630499454893453,0,2,0.7,0.8
0.5,0,29.0,0,0,0.0,1,1,0.7,0.8
0.5,0,30.0,0,0,,0,0,0.6,0.7
0.5,0,31.0,0,0,0.0,1,1,0.7,0.7
0.5,0,32.0,0,0,,0,0,0.7,0.7
0.5,0,33.0,0,0,0.0,1,1,0.7,0.7
0.5,0,34.0,0,1,,1,0,0.7,0.6
0.5,0,35.0,0,0,0.0,0,1,0.6,0.7
0.5,0,36.0,0,0,,0,0,0.5,0.7
0.5,0,37.0,0,0,,0,0,0.4,0.6
0.5,0,38.0,0,0,,0,0,0.4,0.4
0.5,0,39.0,0,0,,0,0,0.3,0.3
0.5,0,40.0,0,0,0.0,1,1,0.4,0.4
0.5,0,41.0,1,2,,2,0,0.5,0.3
0.5,0,42.0,3,4,,2,0,0.7,0.3
0.5,0,43.0,4,5,,1,0,0.7,0.2
0.5,0,44.0,4,5,1.4107545065063647,2,2,0.8,0.4
0.5,0,45.0,2,3,2.5094644052823867,0,2,0.8,0.5
0.5,0,46.0,1,2,2.5261325681738356,0,1,0.8,0.6
0.5,0,47.0,0,1,1.4102982261770478,0,1,0.8,0.7
0.5,0,48.0,0,0,2.2891364010603183,0,1,0.8,0.8
0.5,0,49.0,0,1,,1,0,0.9,0.8
0.5,0,50.0,0,0,0.0,0,1,0.8,0.8
0.5,0,51.0,0,0,,0,0,0.6,0.8
0.5,0,52.0,0,0,,0,0,0.4,0.8
0.5,0,53.0,0,0,,0,0,0.3,0.8
0.5,0,54.0,0,0,,0,0,0.1,0.6
0.5,0,55.0,0,0,,0,0,0.1,0.4
0.5,0,56.0,0,0,,0,0,0.1,0.3
0.5,0,57.0,0,0,0.0,1,1,0.2,0.3
0.5,0,58.0,0,0,,0,0,0.2,0.2
0.5,0,59.0,0,1,,1,0,0.2,0.2
0.5,0,60.0,0,1,,0,0,0.2,0.1
0.5,0,61.0,0,1,,0,0,0.2,0.1
0.5,0,62.0,0,1,,0,0,0.2,0.1
0.5,0,63.0,1,2,,1,0,0.3,0.1
0.5,0,64.0,1,2,0.0,1,1,0.4,0.2
0.5,0,65.0,1,2,,0,0,0.4,0.2
0.5,0,66.0,0,1,1.2846729761633355,0,1,0.4,0.3
0.5,0,67.0,0,1,,0,0,0.3,0.2
0.5,0,68.0,0,1,,0,0,0.3,0.2
0.5,0,69.0,0,1,2.4673887535985273,1,1,0.3,0.3
0.5,0,70.0,0,0,0.010058409448390648,0,1,0.3,0.4
0.5,0,71.0,0,0,,0,0,0.3,0.4
0.5,0,72.0,0,0,,0,0,0.3,0.4
0.5,0,73.0,2,3,0.0,4,1,0.6,0.5
0.5,0,74.0,1,2,0.6306798756066883,0,1,0.5,0.5
0.5,0,75.0,1,2,1.5410289890149897,1,1,0.6,0.6
0.5,0,76.0,1,2,,0,0,0.6,0.5
0.5,0,77.0,2,3,1.9422508790259485,3,2,0.9,0.7
0.5,0,78.0,0,1,0.639302483059339,1,3,1.0,1.0
0.5,0,79.0,0,1,0.3771466154380505,1,1,1.0,1.0
0.5,0,80.0,0,1,0.0,1,1,1.1,1.0
0.5,0,81.0,1,2,0.18722429779671756,2,1,1.3,1.1
0.5,0,82.0,1,2,,0,0,1.3,1.1
0.5,0,83.0,1,2,,0,0,0.9,1.0
0.5,0,84.0,0,1,0.452880599516277,0,1,0.9,1.0
0.5,0,85.0,0,1,2.647897270155454,1,1,0.9,1.0
0.5,0,86.0,0,0,0.010898789814120846,0,1,0.9,1.1
0.5,0,87.0,0,0,0.0,1,1,0.7,1.0
0.5,0,88.0,0,1,,1,0,0.7,0.7
0.5,0,89.0,0,0,0.0,0,1,0.6,0.7
0.5,0,90.0,0,0,0.0,1,1,0.6,0.7
0.5,0,91.0,0,0,,0,0,0.4,0.6
0.5,0,92.0,0,0,,0,0,0.4,0.6
0.5,0,93.0,0,1,,1,0,0.5,0.6
0.5,0,94.0,0,1,,0,0,0.5,0.5
0.5,0,95.0,0,0,0.0,0,1,0.4,0.5
0.5,0,96.0,0,0,,0,0,0.4,0.4
0.5,0,97.0,0,0,,0,0,0.3,0.3
0.5,0,98.0,0,0,0.0,1,1,0.3,0.4
0.5,0,99.0,0,0,0.0,1,1,0.4,0.4
0.5,0,100.0,0,0,,0,0,0.3,0.3
0.5,0,101.0,0,1,,1,0,0.4,0.3
0.5,0,102.0,0,1,0.0,1,1,0.5,0.4
0.5,0,103.0,0,0,0.0,0,1,0.4,0.5
0.5,0,104.0,0,1,,1,0,0.5,0.5
0.5,0,105.0,0,1,,0,0,0.5,0.4
0.5,0,106.0,0,0,0.0,0,1,0.5,0.5
0.5,0,107.0,0,0,,0,0,0.5,0.5
0.5,0,108.0,0,0,,0,0,0.4,0.4
0.5,0,109.0,1,2,,2,0,0.5,0.3
0.5,0,110.0,0,1,0.0,0,1,0.5,0.4
0.5,0,111.0,0,0,0.6045384398668148,0,1,0.4,0.5
0.5,0,112.0,0,0,0.0,1,1,0.4,0.5
0.5,0,113.0,0,0,,0,0,0.4,0.4
0.5,0,114.0,0,0,0.0,1,1,0.4,0.5
0.5,0,115.0,0,1,,1,0,0.5,0.5
0.5,0,116.0,0,0,0.0,0,1,0.5,0.5
0.5,0,117.0,0,1,,1,0,0.6,0.5
0.5,0,118.0,1,2,0.0,2,1,0.8,0.6
0.5,0,119.0,1,2,,0,0,0.6,0.6
0.5,0,120.0,2,3,0.0,2,1,0.8,0.6
0.5,0,121.0,3,4,,1,0,0.9,0.5
0.5,0,122.0,3,4,,0,0,0.8,0.4
0.5,0,123.0,3,4,2.0594502929681084,1,1,0.9,0.5
0.5,0,124.0,3,4,3.568142241694318,1,1,0.9,0.5
0.5,0,125.0,3,4,,0,0,0.8,0.5
0.5,0,126.0,1,2,3.604034155548144,1,3,0.9,0.7
0.5,0,127.0,1,2,,0,0,0.8,0.7
0.5,0,128.0,0,0,1.8200497314570043,0,2,0.6,0.8
0.5,0,129.0,0,0,,0,0,0.6,0.8
0.5,0,130.0,0,0,0.0,1,1,0.5,0.8
0.5,0,131.0,0,0,0.0,1,1,0.5,0.9
0.5,0,132.0,0,0,,0,0,0.5,0.9
0.5,0,133.0,0,0,,0,0,0.4,0.8
0.5,0,134.0,0,0,,0,0,0.3,0.7
0.5,0,135.0,0,1,0.0,2,1,0.5,0.8
0.5,0,136.0,0,1,0.0,2,2,0.6,0.7
0.5,0,137.0,1,2,,1,0,0.7,0.7
0.5,0,138.0,1,2,0.18090214738850818,1,1,0.8,0.6
0.5,0,139.0,0,1,0.5715496026153346,0,1,0.8,0.7
0.5,0,140.0,0,0,1.9021705742323434,0,1,0.7,0.7
0.5,0,141.0,0,0,,0,0,0.6,0.6
0.5,0,142.0,0,0,,0,0,0.6,0.6
0.5,0,143.0,0,0,0.0,1,1,0.7,0.7
0.5,0,144.0,0,0,,0,0,0.7,0.7
0.5,0,145.0,0,0,,0,0,0.5,0.6
0.5,0,146.0,0,1,,1,0,0.4,0.4
0.5,0,147.0,0,0,0.0,0,1,0.3,0.5
0.5,0,148.0,0,0,,0,0,0.2,0.4
0.5,0,149.0,0,0,,0,0,0.2,0.3
0.5,0,150.0,0,0,,0,0,0.2,0.2
0.5,0,151.0,0,0,,0,0,0.2,0.2
0.5,0,152.0,0,1,,1,0,0.3,0.2
0.5,0,153.0,1,2,,1,0,0.3,0.1
0.5,0,154.0,1,2,,0,0,0.3,0.1
0.5,0,155.0,0,1,0.0,0,1,0.3,0.2
