rho,run_id,t,congestion_threshold,queue_length_lag0,queue_length_lag1,queue_length_lag2,queue_length_lag3,queue_length_lag4,queue_length_lag5,queue_length_lag6,queue_length_lag7,queue_length_lag8,queue_length_lag9,num_in_system_lag0,num_in_system_lag1,num_in_system_lag2,num_in_system_lag3,num_in_system_lag4,num_in_system_lag5,num_in_system_lag6,num_in_system_lag7,num_in_system_lag8,num_in_system_lag9,arrivals_in_interval_lag0,arrivals_in_interval_lag1,arrivals_in_interval_lag2,arrivals_in_interval_lag3,arrivals_in_interval_lag4,arrivals_in_interval_lag5,arrivals_in_interval_lag6,arrivals_in_interval_lag7,arrivals_in_interval_lag8,arrivals_in_interval_lag9,departures_in_interval_lag0,departures_in_interval_lag1,departures_in_interval_lag2,departures_in_interval_lag3,departures_in_interval_lag4,departures_in_interval_lag5,departures_in_interval_lag6,departures_in_interval_lag7,departures_in_interval_lag8,departures_in_interval_lag9,recent_arrival_rate_lag0,recent_arrival_rate_lag1,recent_arrival_rate_lag2,recent_arrival_rate_lag3,recent_arrival_rate_lag4,recent_arrival_rate_lag5,recent_arrival_rate_lag6,recent_arrival_rate_lag7,recent_arrival_rate_lag8,recent_arrival_rate_lag9,recent_service_rate_lag0,recent_service_rate_lag1,recent_service_rate_lag2,recent_service_rate_lag3,recent_service_rate_lag4,recent_service_rate_lag5,recent_service_rate_lag6,recent_service_rate_lag7,recent_service_rate_lag8,recent_service_rate_lag9,recent_utilisation_lag0,target_qlen_short,target_qlen_medium,target_qlen_long,target_congested_short,target_congested_medium,target_congested_long
0.8,0,10.0,5.0,0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,4.0,3.0,0,0.0,0.0,1.0,3.0,2.0,4.0,4.0,5.0,4.0,1,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1,0.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,0.9,0.8,0.9,0.9,1.2,1.0,0.9,1.0,0.9,0.8,1.2,1.2,1.3,1.2,1.1,1.0,0.9,0.9,0.8,0.9,0.75,0.0,0.0,0.0,0,0,0
0.8,0,11.0,5.0,0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,4.0,1,0.0,0.0,0.0,1.0,3.0,2.0,4.0,4.0,5.0,1,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,0.8,0.9,0.8,0.9,0.9,1.2,1.0,0.9,1.0,0.9,1.1,1.2,1.2,1.3,1.2,1.1,1.0,0.9,0.9,0.8,0.7272727272727273,0.0,0.0,0.0,0,0,0
0.8,0,13.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,0.5,0.7,0.8,0.9,0.8,0.9,0.9,1.2,1.0,0.9,0.8,1.1,1.1,1.2,1.2,1.3,1.2,1.1,1.0,0.9,0.625,0.0,0.0,0.0,0,0,0
0.8,0,14.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.5,0.5,0.7,0.8,0.9,0.8,0.9,0.9,1.2,1.0,0.9,0.8,1.1,1.1,1.2,1.2,1.3,1.2,1.1,1.0,0.5555555555555556,0.0,0.0,0.0,0,0,0
0.8,0,16.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.3,0.5,0.5,0.5,0.7,0.8,0.9,0.8,0.9,0.9,0.6,0.6,0.9,0.8,1.1,1.1,1.2,1.2,1.3,1.2,0.5,0.0,0.0,0.0,0,0,0
0.8,0,17.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3,0.3,0.5,0.5,0.5,0.7,0.8,0.9,0.8,0.9,0.4,0.6,0.6,0.9,0.8,1.1,1.1,1.2,1.2,1.3,0.7499999999999999,0.0,0.0,0.0,0,0,0
0.8,0,19.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.7,0.8,0.9,0.3,0.3,0.4,0.6,0.6,0.9,0.8,1.1,1.1,1.2,1.0,0.0,0.0,0.0,0,0,0
0.8,0,21.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.7,0.2,0.2,0.3,0.3,0.4,0.6,0.6,0.9,0.8,1.1,0.5,0.0,0.0,0.0,0,0,0
0.8,0,23.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.6,0.9,0.5,0.0,0.0,0.0,0,0,0
0.8,0,33.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.7,0.6,0.5,0.5,0.5,0.4,0.3,0.3,0.2,0.2,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.2,0.1,0.1,1.1666666666666667,0.0,0.0,0.0,0,0,0
