dataset,weibull_shape,rho,horizon,model,test_run_id,accuracy,precision_congested,recall_congested,f1_congested,n_test,congestion_rate,accuracy_std,precision_congested_std,recall_congested_std,f1_congested_std,n_test_runs
history_only,2.0,0.3,short,Naive (always 'not congested'),25,0.935099685204617,0.0,0.0,0.0,19060.0,0.064900314795383,,,,,
history_only,2.0,0.3,short,Naive (persistence),25,0.8826337880377755,0.1,0.10105092966855295,0.10052271813429835,19060.0,0.064900314795383,,,,,
history_only,2.0,0.3,short,Logistic Regression,25,0.935099685204617,0.0,0.0,0.0,19060.0,0.064900314795383,,,,,
history_only,2.0,0.3,short,Random Forest,25,0.9350472193074502,0.3333333333333333,0.0008084074373484236,0.0016129032258064516,19060.0,0.064900314795383,,,,,
history_only,2.0,0.3,short,Naive (always 'not congested'),26,0.9354206399660945,0.0,0.0,0.0,18876.0,0.06457936003390549,,,,,
history_only,2.0,0.3,short,Naive (persistence),26,0.8844564526382708,0.11209677419354838,0.1140278917145201,0.11305408702724686,18876.0,0.06457936003390549,,,,,
history_only,2.0,0.3,short,Logistic Regression,26,0.9354206399660945,0.0,0.0,0.0,18876.0,0.06457936003390549,,,,,
history_only,2.0,0.3,short,Random Forest,26,0.9355265946175038,0.625,0.004101722723543888,0.008149959250203748,18876.0,0.06457936003390549,,,,,
history_only,2.0,0.3,short,Naive (always 'not congested'),27,0.9299490251721058,0.0,0.0,0.0,19029.0,0.07005097482789427,,,,,
history_only,2.0,0.3,short,Naive (persistence),27,0.8733512007987808,0.10433504775900074,0.10652663165791448,0.10541945063103192,19029.0,0.07005097482789427,,,,,
history_only,2.0,0.3,short,Logistic Regression,27,0.9299490251721058,0.0,0.0,0.0,19029.0,0.07005097482789427,,,,,
history_only,2.0,0.3,short,Random Forest,27,0.9299490251721058,0.0,0.0,0.0,19029.0,0.07005097482789427,,,,,
history_only,2.0,0.3,short,Naive (always 'not congested'),28,0.9352134949920928,0.0,0.0,0.0,18970.0,0.06478650500790722,,,,,
history_only,2.0,0.3,short,Naive (persistence),28,0.881813389562467,0.09577015163607343,0.09764035801464606,0.09669621273166801,18970.0,0.06478650500790722,,,,,
history_only,2.0,0.3,short,Logistic Regression,28,0.9352134949920928,0.0,0.0,0.0,18970.0,0.06478650500790722,,,,,
history_only,2.0,0.3,short,Random Forest,28,0.9352134949920928,0.0,0.0,0.0,18970.0,0.06478650500790722,,,,,
history_only,2.0,0.3,short,Naive (always 'not congested'),29,0.9349960619585193,0.0,0.0,0.0,19045.0,0.0650039380414807,,,,,
history_only,2.0,0.3,short,Naive (persistence),29,0.8817012339196639,0.08906882591093117,0.0888529886914378,0.08896077638495754,19045.0,0.0650039380414807,,,,,
history_only,2.0,0.3,short,Logistic Regression,29,0.9349960619585193,0.0,0.0,0.0,19045.0,0.0650039380414807,,,,,
history_only,2.0,0.3,short,Random Forest,29,0.9348910475190338,0.0,0.0,0.0,19045.0,0.0650039380414807,,,,,
history_only,2.0,0.3,short,Naive (always 'not congested'),ALL_MEAN,0.9341357814586859,0.0,0.0,0.0,,0.06586421854131413,0.0020981157745548944,0.0,0.0,0.0,5.0
history_only,2.0,0.3,short,Naive (persistence),ALL_MEAN,0.8807912129913916,0.10025415989991075,0.10161975994941427,0.10093064898184054,,0.06586421854131413,0.003848527742635041,0.0077741080882149345,0.008452085894786729,0.008105575836488741,5.0
history_only,2.0,0.3,short,Logistic Regression,ALL_MEAN,0.9341357814586859,0.0,0.0,0.0,,0.06586421854131413,0.0020981157745548944,0.0,0.0,0.0,5.0
history_only,2.0,0.3,short,Random Forest,ALL_MEAN,0.9341254763216373,0.19166666666666665,0.0009820260321784624,0.00195257249520204,,0.06586421854131413,0.002098826848545314,0.2522124325070259,0.0015909604801009776,0.003161031345959761,5.0
