dataset,weibull_shape,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,2.0,0.3,short,Naive (persistence),25,0.1449632738719832,0.45586995807780467,19060.0,,,
history_only,2.0,0.3,short,Linear Regression,25,0.14921593662643584,0.3327286665643566,19060.0,,,
history_only,2.0,0.3,short,Decision Tree,25,0.14949979669779415,0.3351340600854489,19060.0,,,
history_only,2.0,0.3,short,Random Forest,25,0.1492606335720315,0.3331389153985537,19060.0,,,
history_only,2.0,0.3,short,Naive (persistence),26,0.14102564102564102,0.4397354191122024,18876.0,,,
history_only,2.0,0.3,short,Linear Regression,26,0.1487210209183318,0.3268496325148399,18876.0,,,
history_only,2.0,0.3,short,Decision Tree,26,0.14859308471846386,0.3270202149087716,18876.0,,,
history_only,2.0,0.3,short,Random Forest,26,0.14832569654273792,0.3247326107661315,18876.0,,,
history_only,2.0,0.3,short,Naive (persistence),27,0.15770665825844762,0.47231404938729116,19029.0,,,
history_only,2.0,0.3,short,Linear Regression,27,0.1556571112224739,0.34148379320271904,19029.0,,,
history_only,2.0,0.3,short,Decision Tree,27,0.15542914489481413,0.34199349894123166,19029.0,,,
history_only,2.0,0.3,short,Random Forest,27,0.15542482416048842,0.3417330327641171,19029.0,,,
history_only,2.0,0.3,short,Naive (persistence),28,0.147074327886136,0.4573536677868235,18970.0,,,
history_only,2.0,0.3,short,Linear Regression,28,0.1501486730083447,0.3311295044285914,18970.0,,,
history_only,2.0,0.3,short,Decision Tree,28,0.15000193449043334,0.3311740407509879,18970.0,,,
history_only,2.0,0.3,short,Random Forest,28,0.1500418185382007,0.3308647911468546,18970.0,,,
history_only,2.0,0.3,short,Naive (persistence),29,0.14702021527960094,0.4574863690805011,19045.0,,,
history_only,2.0,0.3,short,Linear Regression,29,0.14999060132494452,0.3288591757849556,19045.0,,,
history_only,2.0,0.3,short,Decision Tree,29,0.15007035335549235,0.3294575635492336,19045.0,,,
history_only,2.0,0.3,short,Random Forest,29,0.15009262168661822,0.32927623747527346,19045.0,,,
history_only,2.0,0.3,short,Linear Regression,ALL_MEAN,0.15074666862010616,,,0.0025095048159267026,-0.021609433937941125,5.0
history_only,2.0,0.3,short,Decision Tree,ALL_MEAN,0.15071886283139957,,,0.002413560139167333,-0.021420994244243152,5.0
history_only,2.0,0.3,short,Random Forest,ALL_MEAN,0.15062911890001535,,,0.002482339484003432,-0.020812800061379644,5.0
history_only,2.0,0.3,short,Naive (persistence),ALL_MEAN,0.14755802326436177,,,0.005530329701068041,0.0,5.0
history_only,2.0,0.3,medium,Naive (persistence),25,0.1507345225603358,0.4713736039508088,19060.0,,,
history_only,2.0,0.3,medium,Linear Regression,25,0.1496209538043899,0.335940023941245,19060.0,,,
history_only,2.0,0.3,medium,Decision Tree,25,0.1496860017880799,0.3362221343639733,19060.0,,,
history_only,2.0,0.3,medium,Random Forest,25,0.14955540545062776,0.3358135036818351,19060.0,,,
history_only,2.0,0.3,medium,Naive (persistence),26,0.1457936003390549,0.4500947605720204,18876.0,,,
history_only,2.0,0.3,medium,Linear Regression,26,0.14909042167020392,0.3260150774825208,18876.0,,,
history_only,2.0,0.3,medium,Decision Tree,26,0.14939803352297137,0.3268866944733612,18876.0,,,
history_only,2.0,0.3,medium,Random Forest,26,0.14904704145143038,0.3258064280892939,18876.0,,,
history_only,2.0,0.3,medium,Naive (persistence),27,0.16269903830994797,0.48347542765702406,19029.0,,,
history_only,2.0,0.3,medium,Linear Regression,27,0.1566594424041009,0.34440603124220426,19029.0,,,
history_only,2.0,0.3,medium,Decision Tree,27,0.1565760321042842,0.3445562053176804,19029.0,,,
history_only,2.0,0.3,medium,Random Forest,27,0.1564272915802484,0.3444633105500232,19029.0,,,
history_only,2.0,0.3,medium,Naive (persistence),28,0.15239852398523984,0.46653988287059533,18970.0,,,
history_only,2.0,0.3,medium,Linear Regression,28,0.1503008839131982,0.32958023648261403,18970.0,,,
history_only,2.0,0.3,medium,Decision Tree,28,0.15032995387723608,0.32978579947812586,18970.0,,,
history_only,2.0,0.3,medium,Random Forest,28,0.15012885995134298,0.32955860913988866,18970.0,,,
history_only,2.0,0.3,medium,Naive (persistence),29,0.14917301128905225,0.46120141714627994,19045.0,,,
history_only,2.0,0.3,medium,Linear Regression,29,0.1499652748806721,0.3280551628744802,19045.0,,,
history_only,2.0,0.3,medium,Decision Tree,29,0.14993562196407312,0.32810706181243643,19045.0,,,
history_only,2.0,0.3,medium,Random Forest,29,0.14982422200509746,0.328109392116961,19045.0,,,
history_only,2.0,0.3,medium,Linear Regression,ALL_MEAN,0.151127395334513,,,0.002794845886688699,0.006784606539052995,5.0
