dataset,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,0.3,short,Naive (persistence),25,0.2199632256369845,0.6207598485711755,19035.0,,,
history_only,0.3,short,Linear Regression,25,0.23300113312626414,0.4786801468170231,19035.0,,,
history_only,0.3,short,Decision Tree,25,0.23286627714698163,0.47852651573784283,19035.0,,,
history_only,0.3,short,Random Forest,25,0.23299657643227462,0.4786898190454413,19035.0,,,
history_only,0.3,short,Naive (persistence),26,0.20783798001052078,0.5863159887948349,19010.0,,,
history_only,0.3,short,Linear Regression,26,0.22364781485983212,0.4536156203982056,19010.0,,,
history_only,0.3,short,Decision Tree,26,0.2234512589193586,0.4539301425411368,19010.0,,,
history_only,0.3,short,Random Forest,26,0.22339342212176752,0.4526765191449736,19010.0,,,
history_only,0.3,short,Naive (persistence),27,0.20888166518114612,0.5942805749577708,19073.0,,,
history_only,0.3,short,Linear Regression,27,0.22595397655454497,0.4621564500643459,19073.0,,,
history_only,0.3,short,Decision Tree,27,0.2262786437176325,0.4626141140427048,19073.0,,,
history_only,0.3,short,Random Forest,27,0.226363322001759,0.46200082410847815,19073.0,,,
history_only,0.3,short,Naive (persistence),28,0.19754646448691623,0.565417306397981,18993.0,,,
history_only,0.3,short,Linear Regression,28,0.21533774137524203,0.425267698778157,18993.0,,,
history_only,0.3,short,Decision Tree,28,0.2153944986087593,0.4252060843315117,18993.0,,,
history_only,0.3,short,Random Forest,28,0.21552459481399353,0.42526029413669353,18993.0,,,
history_only,0.3,short,Naive (persistence),29,0.2150383902568176,0.5806426465356354,18885.0,,,
history_only,0.3,short,Linear Regression,29,0.22510112262155377,0.4369299874437099,18885.0,,,
history_only,0.3,short,Decision Tree,29,0.22433272309474983,0.4357240570721933,18885.0,,,
history_only,0.3,short,Random Forest,29,0.22445211894165584,0.4357536574456018,18885.0,,,
history_only,0.3,short,Linear Regression,ALL_MEAN,0.2246083577074874,,,0.005645514260259922,-0.07031004687083797,5.0
history_only,0.3,short,Decision Tree,ALL_MEAN,0.2244646802974964,,,0.005606958611771574,-0.06962539124630385,5.0
history_only,0.3,short,Random Forest,ALL_MEAN,0.22454600686229012,,,0.005611379549525557,-0.07001293087423521,5.0
history_only,0.3,short,Naive (persistence),ALL_MEAN,0.20985354511447704,,,0.007557242172692353,0.0,5.0
history_only,0.3,medium,Naive (persistence),25,0.24297346992382454,0.67415027409862,19035.0,,,
history_only,0.3,medium,Linear Regression,25,0.23899688630800994,0.4878353535590688,19035.0,,,
history_only,0.3,medium,Decision Tree,25,0.23894472072186343,0.48803196758406,19035.0,,,
history_only,0.3,medium,Random Forest,25,0.2390008637126729,0.48778252252482857,19035.0,,,
history_only,0.3,medium,Naive (persistence),26,0.22782745923198316,0.6374677019388945,19010.0,,,
history_only,0.3,medium,Linear Regression,26,0.22951768297413297,0.4577388832118716,19010.0,,,
history_only,0.3,medium,Decision Tree,26,0.22946606808500727,0.45786586028045545,19010.0,,,
history_only,0.3,medium,Random Forest,26,0.2294714287630294,0.4576603680625095,19010.0,,,
history_only,0.3,medium,Naive (persistence),27,0.23331410894982435,0.6552883493099524,19073.0,,,
history_only,0.3,medium,Linear Regression,27,0.23419943928445427,0.475336709407538,19073.0,,,
history_only,0.3,medium,Decision Tree,27,0.23436454025743908,0.47616799964847045,19073.0,,,
history_only,0.3,medium,Random Forest,27,0.23455094391799688,0.4760305974331605,19073.0,,,
history_only,0.3,medium,Naive (persistence),28,0.21913336492391933,0.6064814284509153,18993.0,,,
history_only,0.3,medium,Linear Regression,28,0.2232992596936427,0.4293262080898602,18993.0,,,
history_only,0.3,medium,Decision Tree,28,0.22304342812659547,0.42930888257077415,18993.0,,,
history_only,0.3,medium,Random Forest,28,0.22321630862869363,0.429444079268803,18993.0,,,
history_only,0.3,medium,Naive (persistence),29,0.23516018003706646,0.6221147328263303,18885.0,,,
history_only,0.3,medium,Linear Regression,29,0.23265253643667747,0.4449604652249365,18885.0,,,
history_only,0.3,medium,Decision Tree,29,0.23218420982774077,0.44449014352997046,18885.0,,,
history_only,0.3,medium,Random Forest,29,0.23240751236303317,0.44487639564905956,18885.0,,,
history_only,0.3,medium,Linear Regression,ALL_MEAN,0.23173316093938348,,,0.005210153918045719,-0.00022204741406417483,5.0
history_only,0.3,medium,Decision Tree,ALL_MEAN,0.2316005934037292,,,0.00528578267282949,0.00035014938071153967,5.0
history_only,0.3,medium,Random Forest,ALL_MEAN,0.2317294114770852,,,0.005270033961661753,-0.00020586373607223152,5.0
history_only,0.3,medium,Naive (persistence),ALL_MEAN,0.23168171661332354,,,0.007932017844639339,0.0,5.0
history_only,0.3,long,Naive (persistence),25,0.24785920672445494,0.6845512796175734,19035.0,,,
history_only,0.3,long,Linear Regression,25,0.23955777465681918,0.4880843619974233,19035.0,,,
history_only,0.3,long,Decision Tree,25,0.23940613508648645,0.4880662471074756,19035.0,,,
history_only,0.3,long,Random Forest,25,0.2392887779254441,0.4880897019738112,19035.0,,,
history_only,0.3,long,Naive (persistence),26,0.23108890057864281,0.6465625531934278,19010.0,,,
history_only,0.3,long,Linear Regression,26,0.22922183303125568,0.45461265759098224,19010.0,,,
history_only,0.3,long,Decision Tree,26,0.22917082385628945,0.45463867447778533,19010.0,,,
history_only,0.3,long,Random Forest,26,0.22895064703029896,0.45459735773327364,19010.0,,,
history_only,0.3,long,Naive (persistence),27,0.24081161851832433,0.6774370729328135,19073.0,,,
history_only,0.3,long,Linear Regression,27,0.2349726485184026,0.4772655790997213,19073.0,,,
