dataset,erlang_k,rho,horizon,model,test_run_id,accuracy,precision_congested,recall_congested,f1_congested,n_test,congestion_rate,accuracy_std,precision_congested_std,recall_congested_std,f1_congested_std,n_test_runs
history_only,2,0.3,short,Naive (always 'not congested'),25,0.92944817456987,0.0,0.0,0.0,19064.0,0.07055182543013008,,,,,
history_only,2,0.3,short,Naive (persistence),25,0.8770981955518254,0.12705530642750373,0.12639405204460966,0.126723816623183,19064.0,0.07055182543013008,,,,,
history_only,2,0.3,short,Logistic Regression,25,0.9295530843474612,1.0,0.001486988847583643,0.002969561989606533,19064.0,0.07055182543013008,,,,,
history_only,2,0.3,short,Random Forest,25,0.9295006294586655,0.6,0.0022304832713754648,0.0044444444444444444,19064.0,0.07055182543013008,,,,,
history_only,2,0.3,short,Naive (always 'not congested'),26,0.93071041733036,0.0,0.0,0.0,18834.0,0.06928958266964001,,,,,
history_only,2,0.3,short,Naive (persistence),26,0.8798980567059573,0.13556740289413557,0.1363984674329502,0.1359816653934301,18834.0,0.06928958266964001,,,,,
history_only,2,0.3,short,Logistic Regression,26,0.9309758946585962,1.0,0.0038314176245210726,0.007633587786259542,18834.0,0.06928958266964001,,,,,
history_only,2,0.3,short,Random Forest,26,0.9308697037273017,1.0,0.0022988505747126436,0.0045871559633027525,18834.0,0.06928958266964001,,,,,
history_only,2,0.3,short,Naive (always 'not congested'),27,0.9167410831538583,0.0,0.0,0.0,19037.0,0.08325891684614173,,,,,
history_only,2,0.3,short,Naive (persistence),27,0.8607973945474602,0.1698698078115313,0.17287066246056781,0.1713570981863665,19037.0,0.08325891684614173,,,,,
history_only,2,0.3,short,Logistic Regression,27,0.9166360245837054,0.25,0.0006309148264984228,0.0012586532410320957,19037.0,0.08325891684614173,,,,,
history_only,2,0.3,short,Random Forest,27,0.9168986710090876,0.8,0.002523659305993691,0.005031446540880503,19037.0,0.08325891684614173,,,,,
history_only,2,0.3,short,Naive (always 'not congested'),28,0.9246506722910625,0.0,0.0,0.0,18965.0,0.07534932770893751,,,,,
history_only,2,0.3,short,Naive (persistence),28,0.8672291062483523,0.12422360248447205,0.12596221133659902,0.1250868658790827,18965.0,0.07534932770893751,,,,,
