dataset,erlang_k,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,2,0.3,short,Naive (persistence),25,0.15941040704993706,0.49244182489124955,19064.0,,,
history_only,2,0.3,short,Linear Regression,25,0.17043066605969778,0.363748285967901,19064.0,,,
history_only,2,0.3,short,Decision Tree,25,0.17055584371360857,0.3645847916274395,19064.0,,,
history_only,2,0.3,short,Random Forest,25,0.17085506973750014,0.36465678735198054,19064.0,,,
history_only,2,0.3,short,Naive (persistence),26,0.15811829669746202,0.48902144868619074,18834.0,,,
history_only,2,0.3,short,Linear Regression,26,0.17135772765935928,0.37303762226869075,18834.0,,,
history_only,2,0.3,short,Decision Tree,26,0.17085598467388818,0.37083214703319145,18834.0,,,
history_only,2,0.3,short,Random Forest,26,0.17128183313320242,0.37196586025398065,18834.0,,,
history_only,2,0.3,short,Naive (persistence),27,0.19005095340652414,0.5432398398123838,19037.0,,,
history_only,2,0.3,short,Linear Regression,27,0.18984127298337303,0.40830379742112,19037.0,,,
history_only,2,0.3,short,Decision Tree,27,0.18935421083312917,0.4092172997822002,19037.0,,,
history_only,2,0.3,short,Random Forest,27,0.18944980914047285,0.4086076143276465,19037.0,,,
history_only,2,0.3,short,Naive (persistence),28,0.1787503295544424,0.5304341624916348,18965.0,,,
history_only,2,0.3,short,Linear Regression,28,0.18118646786799517,0.39544086113746085,18965.0,,,
history_only,2,0.3,short,Decision Tree,28,0.18043686842124423,0.3944617639771758,18965.0,,,
history_only,2,0.3,short,Random Forest,28,0.18065088854133377,0.39409767234936266,18965.0,,,
history_only,2,0.3,short,Naive (persistence),29,0.1714450745641672,0.5015728255267308,19044.0,,,
history_only,2,0.3,short,Linear Regression,29,0.17698640097591478,0.36951995630862833,19044.0,,,
history_only,2,0.3,short,Decision Tree,29,0.17674148094574962,0.37052390141380676,19044.0,,,
history_only,2,0.3,short,Random Forest,29,0.17684353358028757,0.36986587184441255,19044.0,,,
history_only,2,0.3,short,Linear Regression,ALL_MEAN,0.177960507109268,,,0.007110604841040067,-0.03733784732129375,5.0
history_only,2,0.3,short,Decision Tree,ALL_MEAN,0.17758887771752396,,,0.00695769518872042,-0.035171606959906176,5.0
